date_permit_issued,model_year,make,model,province_of_registration
2017-09-14,2017,CADILLAC,XT5,PE
2017-09-12,2008,NISSAN,SENTRA,PE
2017-09-18,2017,HYUNDAI,ELANTRA,PE
2017-08-28,2009,HYUNDAI,SONATA,PE
2017-08-29,2014,NISSAN,ALTIMA,PE
2017-09-18,2000,TOYOTA,TUNDRA,IL
2017-09-18,2007,TOYOTA,CAMRY,PE
2017-09-06,2016,JEEP,WRANGLER,PE
2017-08-28,2009,MAZDA,CX9,PE
2017-08-28,2016,NISSAN,PATHFINDER,PE
2017-09-18,2006,LAND ROVER,,PE
2017-09-18,2010,FORD,FUSION,PE
2017-09-06,2015,MAZDA,3,PE
2017-09-06,2015,HYUNDAI,ACCENT GL,PE
2017-09-06,2008,KIA,MAGENTIS,PE
2017-09-15,2000,HONDA,GOLDWING MC,PE
2017-09-15,2004,DODGE,RAM 3500,PE
2017-09-15,2015,CHRYSLER,SEBRING,PE
2017-09-15,2010,TOYOTA,COROLLA,PE
2017-09-15,2012,CHEVROLET,IMPALA,PE
2017-08-28,2009,JEEP,COMPASS,PE
2017-09-14,2008,FORD,FOCUS,NB
2017-08-29,2009,HONDA,CIVIC,PE
2017-09-19,2006,PONTIAC,VIBE,NB
2017-09-18,2014,FORD,FIESTA,NB
2017-09-18,2014,VW,JETTA,
2017-08-28,2015,VW,GOLF,PE
2017-09-15,2010,KIA,SOUL,NB
2017-08-28,2006,TOYOTA,MATRIX,NB
2017-09-19,2016,DODGE,JOURNEY,PE
2017-08-28,2006,FORD,TAURUS,NS
2017-09-06,2016,NISSAN,ROGUE,PE
2017-09-19,2013,TOYOTA,COROLLA,PE
2017-08-28,2011,HYUNDAI,ELANTRA,PE
2017-09-06,2013,HONDA,CIVIC,PE
2017-08-29,2009,HONDA,CIVIC SPORT,PE
2017-09-06,2006,MAZDA,6,PE
2017-09-15,2015,JEEP,RENEGADE,PE
2017-09-14,2017,HONDA,FIT,PE
2017-09-06,2007,HYUNDAI,ELANTRA,PE
2017-09-06,2012,CHEVROLET,SONIC,PE
2017-09-19,2010,HYUNDAI,SANTA FE,PE
2017-09-07,2017,HONDA,HRV,PE
2017-09-12,2016,SUBARU,CROSS,PE
2017-09-18,2002,ACURA,,PE
2017-09-14,2009,HYUNDAI,TUSCON,PE
2017-09-18,2010,TOYOTA,YARIS,PE
2017-08-28,2008,HONDA,CIVIC,PE
2017-09-19,2009,HONDA,CIVIC,PE
2017-09-06,2005,TOYOTA,ECHO,PE
2017-09-06,2013,TOYOTA,CAMRY,NB
2017-09-19,2004,TOYOTA,CELICA,PE
2017-09-18,2005,HONDA,ACCORD,NS
2017-08-28,2016,BMW,X4,PE
2017-09-13,2002,KIA,,PE
2017-09-11,2015,HONDA,CIVIC,PE
2017-09-19,2013,BMW,X3,RI
2017-08-29,2017,HONDA,HRV,NS
2017-09-19,2006,TOYOTA,MATRIX,NB
2017-09-14,2011,KIA,FORTE,PE
2017-08-28,2013,FIAT,500 SPORT,PE
2017-08-28,2013,MAZDA,3,PE
2017-09-06,2014,NISSAN,VERSA NOTE,PE
2017-09-14,2011,KIA,FORTE,PE
2017-09-20,2013,HONDA,CIVIC,NS
2017-09-18,2012,HYUNDAI,SANTA FE,PE
2017-09-15,2010,HYUNDAI,TUCSON,NS
2017-09-14,2015,TOYOTA,COROLLA,NB
2017-09-18,2007,KIA,SPECTRA,NS
2017-09-14,2009,NISSAN,ROGUE,PE
2017-09-14,2016,HYUNDAI,ELANTRA,PE
2017-09-14,2005,TOYOTA,MATRIX,NS
2017-09-19,2009,VW,TIGUAN,NS
2017-08-29,2010,VW,GOLF,NS
2017-09-14,2013,SUBARU,,NS
2017-09-15,2005,PONTIAC,VIBE,PE
2017-09-18,1999,HONDA,CIVIC,PE
2017-09-14,2010,VW,GOLF,PE
2017-09-19,2013,HYUNDAI,ACCENT,PE
2017-09-19,2011,HYUNDAI,ACCENT,PE
2017-09-06,2014,PORSCHE,CAYENNE,PE
2017-09-19,2013,TOYOTA,COROLLA,PE
2017-09-14,2017,CHEVROLET,SPARK,PE
2017-09-19,2010,HYUNDAI,ELANTRA,PE
2017-09-06,2011,MAZDA,3,PE
2017-09-14,1999,TOYOTA,COROLLA,PE
2017-09-06,2006,CHEVROLET,IMPALA,PE
2017-09-15,2010,MAZDA,3,PE
2017-09-06,2014,MAZDA,2,PE
2017-09-06,2009,HONDA,CIVIC,PE
2017-09-06,2009,HONDA,CIVIC,PE
2017-09-06,2009,TOYOTA,YARIS,PE
2017-09-18,2010,HYUNDAI,ACCENT,PE
2017-09-06,2010,CHEVROLET,COBALT,PE
2017-09-19,2008,HONDA,CIVIC,NS
2017-09-14,2010,TOYOTA,YARIS,PE
2017-09-15,2014,DODGE,JOURNEY,PE
2017-09-15,2015,VW,PASSAT,PE
2017-09-14,2008,HYUNDAI,TIBURON,PE
2017-09-15,2012,HONDA,CIVIC,PE
2017-09-14,2007,TOYOTA,COROLLA,PE
2017-09-06,2010,MAZDA,6,PE
2017-09-06,2012,JEEP,GRAND CHEROKEE,PE
2017-08-28,2012,HONDA,CIVIC,PE
2017-09-19,2008,DODGE,CALIBER,PE
2017-09-06,2006,FORD,500,PE
2017-09-13,2006,PONTIAC,MONTANA,PE
2017-09-18,2015,FORD,FUSION,PE
2017-09-19,2016,TOYOTA,COROLLA,PE
2017-09-14,2005,TOYOTA,ECHO,PE
2017-09-14,2010,TOYOTA,MATRIX,PE
2017-09-06,1999,HONDA,CIVIC,PE
2017-09-06,2007,FORD,FOCUS,PE
2017-09-14,2011,SCION,XD,NB
2017-08-28,2013,HONDA,CIVIC,PE
2017-09-14,2010,FORD,RANGER,PE
2017-09-18,2010,HYUNDAI,ELANTRA,PE
2017-09-21,2001,AUDI,A6,PE
2017-09-18,2010,KIA,SOUL,NS
2017-09-19,2015,TOYOTA,COROLLA,PE
2017-08-29,2013,HYUNDAI,ELANTRA,PE
2017-09-18,2016,HONDA,HRV,PE
2017-08-28,2011,TOYOTA,COROLLA,PE
2017-09-11,2013,TOYOTA,COROLLA,PE
2017-08-28,2016,HONDA,HRV,PE
2017-09-15,2009,TOYOTA,MATRIX,PE
2017-09-18,1999,HONDA,CIVIC,PE
2017-09-18,2005,TOYOTA,ECHO,PE
2017-09-14,2008,KIA,SPORTAGE,PA
2017-08-28,2014,MINI,COOPER,NY
2017-08-29,2015,HONDA,CRV,MA
2017-09-15,2011,TOYOTA,4RUNNER,NY
2017-09-06,2008,FORD,MUSTANG,PE
2017-09-14,2015,HONDA,ODYSSEY,PE
2017-09-18,2014,FORD,EXPLORER,AL
2017-09-18,2008,VW,RABBIT,PA
2017-09-14,2014,CIVIC,EX,PE
2017-09-14,2006,SUBARU,OUTBACK,ME
2017-09-15,2004,FORD,EXPLORER,CT
2017-09-18,2009,NISSAN,MURANO,CA
2017-09-14,2007,HONDA,CIVIC,CA
2017-08-29,2009,TOYOTA,COROLLA,MA
2017-09-14,2007,FORD,ESCAPE,ON
2017-09-18,2015,HONDA,FIT,ME
2017-09-14,2010,MAZDA,3,PE
2017-08-28,2012,NISSAN,JUKE,PE
2017-08-29,2002,JEEP,WRANGLER,PE
2017-09-18,2013,DODGE,DART,NB
2017-09-06,2000,HONDA,CIVIC,PE
2017-09-18,2012,HYUNDAI,ACCENT,PE
2017-08-28,2017,KIA,FORTE,NS
2017-09-06,2004,HONDA,CIVIC,NS
2017-09-18,2007,TOYOTA,YARIS,PE
2017-09-18,2012,VW,JETTA,NS
2017-08-29,2009,MITSUBISHI,LANCER,NB
2017-09-19,2012,JEEP,WRANGLER,NL
2017-08-28,2005,KIA,SPORTAGE,NB
2017-09-19,2007,TOYOTA,CAMRY,NS
2017-09-14,2008,CHEVROLET,COBALT,PE
2017-08-29,2008,TOYOTA,MATRIX,NB
2017-09-18,2012,TOYOTA,MATRIX,NB
2017-08-29,2005,HONDA,CIVIC,NB
2017-09-14,2009,VW,GOLF CITY,PE
2017-09-14,2016,HYUNDAI,ELANTRA,NL
2017-09-14,2008,FORD,ESCAPE,NS
2017-09-14,2012,CHEVROLET,CRUZE,NS
2017-09-15,2007,TOYOTA,YARIS,NB
2017-09-06,2018,SUBARU,OUTBACK,ON
2017-09-15,2015,NISSAN,VERSA NOTE,NB
2017-09-18,2016,HONDA,CIVIC,PE
2017-09-19,2009,HYUNDAI,ACCENT,NB
2017-09-19,2013,MITSUBISHI,RVR,PE
2017-09-06,2003,BUICK,LESABRE,AB
2017-09-19,2013,CHEVROLET,SONIC,PE
2017-09-06,2004,HONDA,CIVIC,PE
2017-08-28,2012,MAZDA,3,PE
2017-09-19,2016,NISSAN,VERSA,PE
2017-09-06,2007,CHEVROLET,COBALT,PE
2017-09-06,2010,TOYOTA,YARIS,PE
2017-09-19,2005,CHEVROLET,BLAZER,PE
2017-09-19,2010,TOYOTA,COROLLA,PE
2017-09-15,2007,CHEVROLET,COBALT,PE
2017-09-06,2010,TOYOTA,MATRIX,PE
2017-09-06,2012,KIA,SEDONA,PE
2017-09-14,2014,HONDA,CIVIC LX,PE
2017-09-18,2009,TOYOTA,COROLLA,PE
2017-09-26,2003,VW,PASSAT,PE
2017-09-19,2005,KIA,RIO,PE
2017-09-19,2008,JEEP,LIBERTY,PE
2017-09-19,2013,JEEP,COMPASS,PE
2017-09-06,2010,JEEP,WRANGLER,PE
2017-09-06,2017,FORD,EDGE,NS
2017-09-15,2005,HONDA,ACCORD,PE
2017-09-18,2004,SATURN,ION,PE
2017-09-06,2009,KIA,FORTE,PE
2017-09-19,2001,TOYOTA,,PE
2017-09-19,2008,HONDA,CIVIC,PE
2017-09-19,2014,KIA,RONDO,NL
2017-09-19,2017,VW,GTI,PE
2017-09-14,2005,NISSAN,ALTIMA,PE
2017-09-06,2009,TOYOTA,COROLLA,PE
2017-09-15,2006,SATURN,ION,PE
2017-09-06,2008,MAZDA,3,PE
2017-09-14,2007,TOYOTA,YARIS,NS
2017-09-06,2011,FORD,FUSION,PE
2017-09-19,2009,CHEVROLET,COBALT,PE
2017-09-06,2004,HONDA,CIVIC,PE
2017-09-18,2005,CHRYSLER,PACIFICA,NB
2017-09-14,2012,HONDA,CIVIC,PE
2017-09-15,2014,CHEVROLET,SONIC,PE
2017-09-15,2011,HYUNDAI,ELANTRA,PE
2017-09-06,2006,TOYOTA,COROLLA,PE
2017-09-15,2006,CHEVROLET,OPTRA,PE
2017-09-06,2016,SUBARU,FORESTER,PE
2017-09-06,2008,NISSAN,ALTIMA,PE
2017-09-15,2013,HONDA,CIVIC,PE
2017-09-06,2008,HYUNDAI,SANTA FE,PE
2017-09-06,2016,HONDA,CIVIC,PE
2017-09-06,2009,HONDA,CIVIC,PE
2017-09-06,2012,HYUNDAI,ELANTRA,PE
2017-09-19,2003,TOYOTA,COROLLA,PE
2017-09-19,2005,HONDA,CIVIC,PE
2017-08-28,2005,KIA,SPECTRA,PE
2017-09-15,2003,TOYOTA,ECHO,PE
2017-09-19,2007,HYUNDAI,SONATA,PE
2017-09-06,2001,TOYOTA,ECHO,PE
2017-08-28,2014,CHEVROLET,CRUZE LT,PE
2017-09-06,2017,HYUNDAI,ELANTRA,PE
2017-09-15,2009,HONDA,ACCORD,PE
2017-09-06,2014,CHRYSLER,200,PE
2017-09-06,2006,HYUNDAI,ELANTRA,NB
2017-08-29,2009,FORD,FOCUS,PE
2017-09-19,2008,PONTIAC,G5,PE
2017-09-19,2009,SUBARU,IMPREZA,PE
2017-09-06,2007,KIA,SPECTRA,PE
2017-09-15,2013,CHEVROLET,CRUZE,PE
2017-09-06,2007,HONDA,ACCORD,PE
2017-09-14,2012,VW,GOLF GTI,PE
2017-09-14,2015,TOYOTA,RAV 4,PE
2017-09-15,2008,FORD,ESCAPE,NS
2017-08-28,2010,DODGE,JOURNEY,PE
2017-09-15,2008,SUZUKI,SWIFT,ON
2017-08-28,2010,CHEVROLET,COBALT,PE
2017-09-14,2010,TOYOTA,COROLLA,PE
2017-09-15,2012,FORD,FIESTA,PE
2017-08-28,2014,TOYOTA,COROLLA,PE
2017-09-19,2012,HONDA,CIVIC,QC
2017-09-14,2007,TOYOTA,MATRIX,PE
2017-09-06,2007,NISSAN,ALTIMA,PE
2017-09-22,2004,HARLEY,NIGHTRAIN,PE
2017-09-22,2011,FORD,FIESTA,PE
2017-09-22,1984,HARLEY,FLH,PE
2017-08-28,2015,HONDA,CIVIC,NS
2017-09-14,2005,TOYOTA,COROLLA,NB
2017-08-29,2017,MITSUBISHI,LANCER,NB
2017-09-14,2007,HYUNDAI,ELANTRA,NB
2017-08-28,2017,TOYOTA,COROLLA,PE
2017-09-14,2009,HONDA,CIVIC,NB
2017-09-18,2015,JEEP,CHEROKEE,NB
2017-09-15,2008,FORD,FOCUS,PE
2017-09-14,2011,HONDA,RIDGELINE,NS
2017-09-14,2010,HONDA,FIT,NS
2017-09-15,2016,MAZDA,3,PE
2017-09-18,2005,NISSAN,SENTRA,NS
2017-09-19,2010,HYUNDAI,ELANTRA,NS
2017-09-14,2016,HONDA,HRV,NS
2017-09-06,2006,HONDA,CIVIC,PE
2017-09-14,2008,FORD,RANGER,ME
2017-09-19,2005,HONDA,ACCORD,NJ
2017-09-15,2004,HYUNDAI,SANTA FE,PE
2017-08-28,2011,NISSAN,,NY
2017-08-28,2004,NISSAN,XTERRA,CO
2017-09-18,2013,TOYOTA,RAV 4,MD
2017-08-28,2010,HYUNDAI,SONATA,MI
2017-08-28,2008,TOYOTA,TUNDRA,CO
2017-09-06,2011,FORD,FOCUS,PE
2017-08-28,2013,VW,JETTA,ME
2017-09-14,2015,NISSAN,ROGUE,NY
2017-08-29,2012,JEEP,LIBERTY,CT
2017-09-14,2015,SUBARU,,FL
2017-09-14,2017,FORD,ESCAPE,CO
2017-09-15,2011,TOYOTA,CAMRY,NJ
2017-09-14,2009,HYUNDAI,SONATA,NL
2017-09-18,2017,FORD,ESCAPE,NS
2017-08-28,2013,HYUNDAI,ELANTRA,NB
2017-08-28,2013,MAZDA,3,NS
2017-09-18,2006,HONDA,CIVIC,PE
2017-09-18,2013,VOLVO,XC60,NS
2017-08-28,2017,MAZDA,CX5,PE
2017-09-18,2012,HONDA,CIVIC,PE
2017-09-18,2010,TOYOTA,COROLLA,PE
2017-08-28,2006,TOYOTA,TACOMA,WI
2017-08-28,2007,FORD,FOCUS,NB
2017-09-14,2011,TOYOTA,COROLLA,PE
2017-09-14,2005,FORD,F-150,PE
2017-09-14,2013,NISSAN,JUKE,PE
2017-09-06,2004,HONDA,CIVIC,NS
2017-09-19,2016,HYUNDAI,ACCENT,NB
2017-09-15,2007,TOYOTA,MATRIX,PE
2017-09-14,2011,FORD,ESCAPE,PE
2017-09-15,2006,BUICK,ALLURE,PE
2017-09-06,2009,TOYOTA,MATRIX,PE
2017-09-18,2017,KIA,FORTE,PE
2017-09-18,2015,HONDA,FIT,NB
2017-09-19,2007,HYUNDAI,TUCSON,NB
2017-08-28,2012,HONDA,CIVIC,PE
2017-09-15,2005,TOYOTA,ECHO,PE
2017-09-15,2007,NISSAN,VERSA,NB
2017-09-15,1996,TOYOTA,CAMRY,PE
2017-09-19,2009,HYUNDAI,ACCENT,NS
2017-09-19,2008,FORD,ESCAPE,PE
2017-09-18,2017,HONDA,CIVIC,PE
2017-09-15,2012,DODGE,JOURNEY,PE
2017-09-15,2013,HYUNDAI,ELANTRA,PE
2017-09-18,2010,MAZDA,3,PE
2017-09-18,1998,JEEP,TJ SPORT,PE
2017-09-14,2005,TOYOTA,CAMRY,PE
2017-09-15,2008,MAZDA,6,PE
2017-09-14,2009,KIA,RIO,PE
2017-09-19,2012,KIA,RIO XE,NS
2017-09-19,2011,FORD,ESCAPE,PE
2017-09-18,2007,HONDA,ACCORD,PE
2017-09-18,2017,TOYOTA,COROLLA,PE
2017-09-19,2006,TOYOTA,COROLLA,PE
2017-09-19,2009,HONDA,FIT,PE
2017-09-06,2012,CHEVROLET,CRUZE LT,PE
2017-09-19,2004,TOYOTA,COROLLA,PE
2017-09-19,2012,SUBARU,FORESTER,PE
2017-09-19,2007,DODGE,CALIBER,PE
2017-09-06,2014,TOYOTA,COROLLA,PE
2017-09-14,2011,NISSAN,MURANO,PE
2017-09-18,2010,TOYOTA,COROLLA,PE
2017-08-28,2014,NISSAN,VERSA,PE
2017-09-06,2015,HONDA,CIVIC,PE
2017-09-06,2006,CHEVROLET,COBALT,PE
2017-09-14,2010,KIA,RIO,PE
2017-09-19,2010,HYUNDAI,ACCENT,PE
2017-08-28,2008,TOYOTA,COROLLA,PE
2017-09-22,2007,HONDA,CIVIC,NB
2017-09-06,2002,TOYOTA,TACOMA,PE
2017-08-28,2011,HYUNDAI,SONATA,PE
2017-09-19,2006,INFINTI,635X,PE
2017-09-06,2010,MAZDA,3,PE
2017-09-14,2006,PONTIAC,TORRENT,PE
2017-09-14,2009,HYUNDAI,ELANTRA,PE
2017-09-06,2009,FORD,FOCUS,PE
2017-09-14,2009,CHEVROLET,AVEO,PE
2017-09-18,2008,HYUNDAI,ACCENT,PE
2017-09-19,2013,VW,JETTA,PE
2017-09-06,2011,HYUNDAI,ELANTRA,NS
2017-09-06,2011,HONDA,CIVIC,PE
2017-09-18,2013,DODGE,CHARGER,PE
2017-09-18,2004,TOYOTA,ECHO,PE
2017-08-29,2005,TOYOTA,MATRIX,PE
2017-09-19,2001,TOYOTA,CAMRY,NS
2017-09-06,2009,MAZDA,6,PE
2017-09-06,2011,MAZDA,TRIBUTE,PE
2017-09-18,2001,TOYOTA,COROLLA,PE
2017-09-19,2008,TOYOTA,YARIS,PE
2017-08-29,2012,VW,JETTA,PE
2017-09-18,2009,TOYOTA,RAV 4,PE
2017-08-28,2002,TOYOTA,CAMRY,PE
2017-09-15,2013,HONDA,CIVIC,PE
2017-09-18,2014,FORD,ESCAPE,NS
2017-09-18,2009,HONDA,CIVIC,PE
2017-09-06,2009,KIA,RIO 5,PE
2017-09-15,2014,KIA,RIO,PE
2017-09-15,2006,FORD,ESCAPE,PE
2017-09-15,2010,TOYOTA,COROLLA,PE
2017-09-19,2015,HYUNDAI,ELANTRA,PE
2017-09-15,2012,FORD,EXPLORER,PE
2017-09-19,2009,HONDA,CRV,PE
2017-09-06,2012,MAZDA,,PE
2017-09-19,2012,HONDA,CIVIC,PE
2017-09-19,2007,CHEVROLET,AVEO,PE
2017-09-06,2008,HONDA,CIVIC,PE
2017-09-06,2006,TOYOTA,COROLLA,PE
2017-09-18,2012,MAZDA,3 SPORT,NB
2017-09-06,2017,CHEVROLET,CRUZE,PE
2017-09-18,2005,TOYOTA,COROLLA,PE
2017-08-28,2009,VW,JETTA,PE
2017-09-18,2014,HONDA,CIVIC,PE
2017-09-15,2015,NISSAN,VERSA,PE
2017-09-14,2015,JEEP,PATRIOT,PE
2017-09-06,2007,HONDA,FIT,PE
2017-09-19,2003,SUBARU,LEGACY,PE
2017-08-28,2015,VW,GOLF,PE
2017-09-14,2006,TOYOTA,COROLLA,PE
2017-09-06,2008,HONDA,CIVIC,PE
2017-09-06,2014,HONDA,ACCORD,PE
2017-09-15,2009,HONDA,CRV,PE
2017-09-18,2007,MAZDA,3,PE
2017-09-06,2006,HYUNDAI,ELANTRA,PE
2017-09-19,2007,CHEVROLET,MALIBU,PE
2017-09-06,2015,HONDA,CIVIC,PE
2017-09-15,2005,CHEVROLET,MALIBU,PE
2017-09-06,2009,CHEVROLET,MALIBU,NS
2017-09-06,2009,PONTIAC,G3,NB
2017-09-18,2007,HYUNDAI,ELANTRA,NS
2017-09-18,2012,HYUNDAI,TUSCON,PE
2017-09-15,2017,HYUNDAI,SONATA,PE
2017-09-22,2009,DODGE,CHARGER,NS
2017-09-14,2012,SUBARU,OUTBACK,PE
2017-09-14,2017,SUBARU,LEGACY,PE
2017-09-18,2005,NISSAN,SENTRA,PE
2017-09-19,2016,HONDA,CIVIC,NL
2017-09-06,2016,TOYOTA,PRIUS,PE
2017-08-28,2013,VW,TIGUAN,PE
2017-09-14,2005,TOYOTA,ECHO,NB
2017-09-06,2004,MAZDA,6,PE
2017-09-06,2011,NISSAN,VERSA,PE
2017-09-06,2014,VW,PASSAT,PE
2017-09-08,2008,FORD,ESCAPE,PE
2017-09-06,2010,HYUNDAI,ACCENT,PE
2017-09-06,2016,HYUNDAI,ACCENT,PE
2017-09-15,2004,FORD,RANGER,PE
2017-09-14,2008,HONDA,CIVIC,PE
2017-09-06,2006,TOYOTA,COROLLA,PE
2017-09-15,2010,TOYOTA,COROLLA,PE
2017-09-06,2014,TOYOTA,COROLLA,PE
